Country,Population
China,"1,349,585,838"
India,"1,220,800,359"
United States,"316,668,567"
Indonesia,"251,160,124"
Brazil,"201,009,622"
Pakistan,"193,238,868"
Nigeria,"174,507,539"
Bangladesh,"163,654,860"
Russia,"142,500,482"
Japan,"127,253,075"
Mexico,"116,220,947"
Philippines,"105,720,644"
Ethiopia,"93,877,025"
Vietnam,"92,477,857"
Egypt,"85,294,388"
Germany,"81,147,265"
Turkey,"80,694,485"
Iran,"79,853,900"
Democratic Republic of the Congo,"75,507,308"
Thailand,"67,448,120"
France,"65,951,611"
United Kingdom,"63,395,574"
Italy,"61,482,297"
Burma,"55,167,330"
South Korea,"48,955,203"
South Africa,"48,601,098"
Tanzania,"48,261,942"
Spain,"47,370,542"
Colombia,"45,745,783"
Ukraine,"44,573,205"
Kenya,"44,037,656"
Argentina,"42,610,981"
Poland,"38,383,809"
Algeria,"38,087,812"
Sudan,"34,847,910"
Uganda,"34,758,809"
Canada,"34,568,211"
Morocco,"32,649,130"
Iraq,"31,858,481"
Afghanistan,"31,108,077"
Nepal,"30,430,267"
Peru,"29,849,303"
Malaysia,"29,628,392"
Uzbekistan,"28,661,637"
Venezuela,"28,459,085"
Saudi Arabia,"26,939,583"
Yemen,"25,408,288"
Ghana,"25,199,609"
North Korea,"24,720,407"
Mozambique,"24,096,669"
Taiwan,"23,299,716"
Madagascar,"22,599,098"
Syria,"22,457,336"
Cote d'Ivoire,"22,400,835"
Australia,"22,262,501"
Romania,"21,790,479"
Sri Lanka,"21,675,648"
Cameroon,"20,549,221"
Angola,"18,565,269"
Burkina Faso,"17,812,961"
Kazakhstan,"17,736,896"
Chile,"17,216,945"
Niger,"16,899,327"
Netherlands,"16,805,037"
Malawi,"16,777,547"
Mali,"15,968,882"
Ecuador,"15,439,429"
Cambodia,"15,205,539"
Guatemala,"14,373,472"
Zambia,"14,222,233"
Senegal,"13,300,410"
Zimbabwe,"13,182,908"
Rwanda,"12,012,589"
Chad,"11,193,452"
Guinea,"11,176,026"
South Sudan,"11,090,104"
Cuba,"11,061,886"
Burundi,"10,888,321"
Tunisia,"10,835,873"
Portugal,"10,799,270"
Greece,"10,772,967"
Bolivia,"10,461,053"
Belgium,"10,444,268"
Somalia,"10,251,568"
Dominican Republic,"10,219,630"
Czech Republic,"10,162,921"
Hungary,"9,939,470"
Haiti,"9,893,934"
Benin,"9,877,292"
Belarus,"9,625,888"
Azerbaijan,"9,590,159"
Sweden,"9,119,423"
Honduras,"8,448,465"
Austria,"8,221,646"
Switzerland,"7,996,026"
Tajikistan,"7,910,041"
Israel,"7,707,042"
Serbia,"7,243,007"
Togo,"7,154,237"
Bulgaria,"6,981,642"
Laos,"6,695,166"
Paraguay,"6,623,252"
Jordan,"6,482,081"
Papua New Guinea,"6,431,902"
Eritrea,"6,233,682"
El Salvador,"6,108,590"
Libya,"6,002,347"
Nicaragua,"5,788,531"
Sierra Leone,"5,612,685"
Denmark,"5,556,452"
Kyrgyzstan,"5,548,042"
Slovakia,"5,488,339"
United Arab Emirates,"5,473,972"
Finland,"5,266,114"
Central African Republic,"5,166,510"
Turkmenistan,"5,113,040"
Ireland,"4,775,982"
Norway,"4,722,701"
Costa Rica,"4,695,942"
Georgia,"4,555,911"
Republic of the Congo,"4,492,689"
Croatia,"4,475,611"
New Zealand,"4,365,113"
Lebanon,"4,131,583"
Liberia,"3,989,703"
Bosnia and Herzegovina,"3,875,723"
Puerto Rico,"3,674,209"
Moldova,"3,619,925"
Panama,"3,559,408"
Lithuania,"3,515,858"
Mauritania,"3,437,610"
Uruguay,"3,324,460"
Mongolia,"3,226,516"
Oman,"3,154,134"
Albania,"3,011,405"
Armenia,"2,974,184"
Jamaica,"2,909,714"
Kuwait,"2,695,316"
Namibia,"2,182,852"
Latvia,"2,178,443"
Botswana,"2,127,825"
Macedonia,"2,087,171"
Qatar,"2,042,444"
Slovenia,"1,992,690"
Lesotho,"1,936,181"
The Gambia,"1,883,051"
Kosovo,"1,847,708"
Guinea-Bissau,"1,660,870"
Gabon,"1,640,286"
Swaziland,"1,403,362"
Estonia,"1,266,375"
Trinidad and Tobago,"1,225,225"
Timor-Leste,"1,172,390"
Cyprus,"1,155,403"
Fiji,"896,758"
Djibouti,"792,198"
Guyana,"739,903"
Bhutan,"725,296"
Equatorial Guinea,"704,001"
Montenegro,"653,474"
Solomon Islands,"597,248"
Suriname,"566,846"
Western Sahara,"538,811"
Luxembourg,"514,862"
Brunei,"415,717"
Belize,"334,297"
Bahamas,"319,031"
Iceland,"315,281"
New Caledonia,"264,022"
Vanuatu,"261,565"
Greenland,"57,714"
